"File","PrimaryModule","ReferencedBy","Disposition","SizeBytes","SHA256","Notes"
"src/master/Lib/Interop.OPCAutomation.dll","vendor-platform","migration review only","ReferenceOnly","40960","EE68B148DDF66A6DE307D06ED4BAB22D82A41C19BA03BEE0C0DF306EAF47CA50","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/libzkfpcsharp.dll","vendor-platform","migration review only","ReferenceOnly","13312","B58DFFD018B58DF4FA7FDBC0C02245FFC3F127C30253DF8EF20407BFC9826510","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Newtonsoft.Json.dll","vendor-platform","migration review only","ReferenceOnly","475136","EFF79DE319CA8941A2E62FB573230D82B79B80958E5A26AB1A4E87193EB13503","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Newtonsoft.Json.pdb","vendor-platform","migration review only","ReferenceOnly","1082880","3C58E4FBBD0410E3E7516CA87B73E2444421853DDF5F07D13CC575048191FB92","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Newtonsoft.Json.xml","vendor-platform","migration review only","ReferenceOnly","526562","365CE231772B7EB39AEFD77D2470C13977EB066CA4971F933C60B02ADD7A407B","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Report/Microsoft.Office.Interop.Excel.dll","vendor-platform","migration review only","ReferenceOnly","1550200","ECE3364B39962DFD7CF5E409C3AA91BB341E461EC947CD25E72A4F3E9DDD2044","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Report/office.dll","vendor-platform","migration review only","ReferenceOnly","448360","F4EB480E5C9EB3878EDFA4EF130484B47AD3DD383093579286405819AF131A78","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Report/Report.dll","vendor-platform","migration review only","ReferenceOnly","33280","9BDE8AD3178E8B2A8165D75E467552B8EC1EFBD9190141B5D487A363C7E13F03","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Report/ReportNuget.1.0.1.nupkg","vendor-platform","migration review only","ReferenceOnly","9327","073385AC3E9866F4EE3BA1752E07943151923FB0EEDF3547D81454F7B9248C06","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Report/RW.1.0.0.nupkg","vendor-platform","migration review only","ReferenceOnly","15710","A726A067512666C6E3BED7BF2BBE84ECC409A0AAD51B2BE03896CFC878ACE1C6","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/ReportNuget.1.0.0.nupkg","vendor-platform","migration review only","ReferenceOnly","9198","3566DE3F8F001C42F3D25044B0663EA25A6F89162539D0F6F09F5208E1AA3CA7","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Spire.Pdf.dll","vendor-platform","migration review only","ReferenceOnly","21790688","5EF97F8085BE4F5A5F5D565709E5F60F4AEE612A2F792A6695A7E0F6D882C824","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Spire.Pdf.xml","vendor-platform","migration review only","ReferenceOnly","1453488","94734EA9EDAB22C91382D0842ADDC6220C80475741A35F8C1895D4AB1BB01022","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Spire.XLS.dll","vendor-platform","migration review only","ReferenceOnly","20938992","FA0416C61A140F3A8C4D183169FC881D0E000E0AB560D5D1E4CF715CBC5C8FDA","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/Spire.XLS.xml","vendor-platform","migration review only","ReferenceOnly","2226133","E6815CE49DFA6D60BC6AB4EDF16EC1E1D9CFF893C27CFA17362713F3E627D6C3","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/SunnyUI.Common.dll","vendor-platform","migration review only","ReferenceOnly","232960","528101063822C4122E60A890D6ECAEEBC95565A5CBEC3DD4E86C6A03BD322AC0","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/SunnyUI.dll","vendor-platform","migration review only","ReferenceOnly","3319808","DD6576CE6EECFBF4F9E83DA08C8B2C3C33E7838B57B284D8767445095DB0BE88","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/System.Data.SQLite.dll","vendor-platform","migration review only","ReferenceOnly","904704","49261BE7F20C9D9DFD1FF35D71E9F3B1B7DE17F65581C67BEED43D933F1EB85C","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/Lib/System.Data.SQLite.XML","vendor-platform","migration review only","ReferenceOnly","184765","649F0E05701455A1413D7706EDD092633096239FA2355E0A3AB327B45C29F146","旧 Windows/x86 或第三方二进制；禁止直接进入 UOS 发布包，先做许可证和替代品审计"
"src/master/MainUI/App.config","build-distribution","all projects;release packaging","Replace","75","D2E34E80C50E953373DE2D3A7521005961AE2442AF6661D00D0A50428679B3A1","构建/发布证据；重新建立跨平台项目和离线发布物"
"src/master/MainUI/BLL/DeviceInspectBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","2126","53CFABF6EECE7A15DB0285BEA2550C8FC8E042C532F094D75471BBA41F0B093B","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/ErrStatisticsBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","1424","4035F79D73A40B6525168DF5F2612C59272DFDFF2A44BE8A33C5980B1BE24D16","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/MeteringRemindBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","1505","EC2DB25614289F0E22019265A9D7C39AB4877BEF5428F22E68D35406B7A28A53","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/ModelBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","4168","433148743111F977CE20DB67031F2F89FCB60F2C15EEB67B0D8C0F6AD4ECBEFF","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/ModelTypeBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","2785","52A6832FA5FDCF7E50F5F8E20A4FD96E75899077B79FCF2BAC22AA9182D09347","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/NlogsBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","977","F7C43B43DDF074F2C7510F4D49C22B904140DF825E19F965AAB8EDFCE884D496","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/OperateUserBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","3307","543DC90FEC0E8BD0637A27927944250C0FBCE9322801BC42DD262D97409FF19A","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/PermissionBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","13320","DB11A0A7635E6D1EE68A262F437AAFB1449F58A69A91CA01F3303DEB15A7DC2A","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/TestProcessBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","7130","2B6777FF8A3D4D3A45C956FF5CE8F71407160634756A13A03516A656A176F053","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/TestRecordNewBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","4577","5D92ABEDDADA323376A9BF1E06674F05DC86010B13B9551ABFC17E10817FCCDC","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/BLL/TestStepBLL.cs","persistence","XXX.TestBench.Avalonia;IntegrationTests","Port","1862","45BFE6077FC2ABC085733BA7EE5669B0D46258DFE6B86FEF72D5ED57A94B732A","数据库或 BLL 证据；先做 schema、备份、迁移和完整性验证"
"src/master/MainUI/Config/AppInfo.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","337","A497EFA3D37621A347181CBFF72634FBAA5ABE37D7B9F9493D2BBE3968941BC4","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/Config/ParaConfig.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","737","8D930D9DB19F1D7D2955FF715CEE2540C11FAE14FB7F65FA714D6447D9BEEC04","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/Config/SaveReportConfig.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","759","CF2D1D850A11DE6966787655E2823AF530D4D3B2406CB8E80DFA2D93FDAD6BDE","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/Config/TCPConfig.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","1295","EFDF7F551E3E70C33525D86A7443A361F4B85BE7EAEE6C94A2E223FA69EC026B","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/Config/UploadConfig.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","2831","709FAF32E183115B5256CAA82AB06ADF1D46B76689E781764677D1005E20446A","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/Config/UploadConfig.ini","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Replace","126","AF874D527ED47F3A2498118F4987BFBFBC38A8B3D460DF9D7DC0D40EE41A57E2","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/CSVHelper.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","6063","DE201B6B2843FBD6A2763063C78401D2DCAD12F8FDA484B46125DF43F5A42AD7","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/DataChangedEventManager.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","4512","6B555878C678168D2F5B8A60C584785A11A732BB7182FB621C79BD4297DC09DA","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/EnumExtensions.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","1457","4F1F313D110881D381371F52912691335181E385197CE390FD864333BBDA5B8C","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/FormManager.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","888","86A5249F55C08CF0A262A2FC87B1152E4BD69966DDCABEB57D79EB2B93405B59","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/GlobalUsings.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","448","F292B377A1ABBEFF2596B0A225F2F4EC0960E6B4CD6F966BADC7004433C4D966","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/MessageHelper.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","3112","707E84A3FE185BEEADBDC86645A5ECD222782F4335A370D83AD53005DFD9B590","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/ModuleComponent.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","4652","12D29B4C37F8B4E665263820E088F949A38B7D923FE2D25F6FC085E460FB478B","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/NewUsers.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","147","1D6E33AA707BA15AB9A16382668709EB980C348103F4B82846FCEF9AD832A7F9","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/NlogHelper.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","8344","63373FD0721E06DC044795F0AE64823A3D3036651A0FC9E95AABC17BBCB5955B","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/OPCHelper.cs","gateway-boundary","XXX.TestBench.Gateway;IntegrationTests","Port","3076","F54B6209DB2CFFEB4A340324796B080FFA42E6CF0F1AC28CC31D68EB9887E715","设备/OPF/旧 OPC 边界；迁移为 DeviceGateway 或配置输入"
"src/master/MainUI/CurrencyHelper/PermissionHelper.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","4080","A9BDBE9716ECAB76B0417F00F3CE61A3A84B6E36F9C28E6E71CEC44CD6484D9F","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/TaskInfo.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","247","3B93F9921678397B748C94B44802AD4EA2054072F3CD765B8757A3E1252FC251","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/TestClassFileManager.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","23837","707012D93CBB40F505684C76C42FE706B66905EF520D85322B3E7A30B656DA81","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/CurrencyHelper/VarHelper.cs","platform-boundary","XXX.TestBench.Avalonia;XXX.TestBench.Gateway;IntegrationTests","Port","2147","3E0744362DF1D1646F07AFBD957A071677298ACDB1544D7F36FE5330EC191BA2","文件、进程、配置、HTTP、日志或平台适配；迁移到明确边界"
"src/master/MainUI/FodyWeavers.xml","build-distribution","all projects;release packaging","Replace","141","79C688C8D3979B439DC068443BB78D27D43EE8D3FDE0383812DE633303E2AE4F","构建/发布证据；重新建立跨平台项目和离线发布物"
"src/master/MainUI/FodyWeavers.xsd","build-distribution","all projects;release packaging","Replace","11010","5A1CD8F0B4EDE8E2FDA3084A02EB2FBE4D30FB4C4A4E73D5E89EA175BC0A99CB","构建/发布证据；重新建立跨平台项目和离线发布物"
"src/master/MainUI/frmChangePwd.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","2826","3AF3B381AFF0DF19515A0842E4C1C06FFD39C2531350C4D9540277B464044B24","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmChangePwd.designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","14827","888F4F2EBB6A97736899FDD467E43B711A2363A715DAFABA1F35CA30EFB904E5","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmChangePwd.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5745","D679C8DE86CCB99ED1F69895706946EC8B2E9EED458DD6D7B8D5144CB3BB3CF5","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDataManager.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","7390","CEA69A7BB3D07E94924514FC798793193530C0B0F1F09B6DC1597B415E02FE7B","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDataManager.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","24894","EACFCDD5B94AD1732C7D35CEADA688BD2211B14E357A64F46281297EBCF949BC","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDataManager.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5748","A122F3E718C7A26B3B21F292AE61305DC66838BB76B93ED6A7669B2AB4CA3432","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDeviceInspect.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","3797","F7B17148301964896881EE19F04DFF753885EB900CABC497C10FD136ADC82DC9","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDeviceInspect.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","6819","B6AA6086C7B126C6547939FBBB9B739256366722DA1FD4563A691C0DAD02D0A5","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDeviceInspect.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5748","A122F3E718C7A26B3B21F292AE61305DC66838BB76B93ED6A7669B2AB4CA3432","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDispReport.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","2045","B596DC3A02821C7C8404E0CD80AB2E410403B54AEFD97A0B84E37AB22274BA1D","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDispReport.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","7972","92C09BE89227D04EC25A1B8E5235C3B8C05FE29453BA71C72BF1A54E49656CB7","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmDispReport.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5748","A122F3E718C7A26B3B21F292AE61305DC66838BB76B93ED6A7669B2AB4CA3432","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmErrStatistics.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","2534","484F26D64256829DDC191ECA0875F91CCF8F3ECE70CEF2E1E7B292794D7B75C3","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmErrStatistics.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","6905","5C8148C48A5CD12A0D0EF376BB80B74BB30008E2DE42FF225C9D5B8442A9B400","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmErrStatistics.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5748","A122F3E718C7A26B3B21F292AE61305DC66838BB76B93ED6A7669B2AB4CA3432","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmHardWare.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5199","5F9C96FB2F19747B96E2AC2C2ECAB76566FCF68F4E0D467B43AF17C432FE8E61","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmHardWare.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","25335","49806007133B1170849502B150CF841FC72331EDA24A336FF7C21F7005D33085","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmHardWare.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","6115","49701414C6EBDC659A3D7FC66E11A29F75D6CD6777F361018D4761AC33EC1A7C","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmLogin.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","7674","A49BFE06068411CDB4FDD70CA339FEA2D7C7796FFCBDA6E90FFBD62B2C098455","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmLogin.designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","9180","4B559526C752A08D9EBA6C538E99AC1CE66011E9AF48000493BB17007DA85904","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmLogin.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","20071","F834D9F4F01AAC3B48923260E8269CB574251C6CDFB3423032D75B6A4D31CD22","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMainMenu.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","15198","F374C2E82E1693F258E227440A489C142AB7538C5CA7DDDE651A2FFF06882732","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMainMenu.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","32302","DDAA4D8B4D23C627BD68B3F754F6DF3909199A25B64EEBD1E612C03AA28A4FF8","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMainMenu.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","42357","1E933C4BF272D14C6F1165C0BC85D956F443852CE4072A6202F8A2CF82CD305B","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMeteringRemind.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","3259","012F17145D2F5225E0DE6A762A7C8E9DFF95E1703111C605003E69FE7DC950C9","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMeteringRemind.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","6853","8D913423C82A3A090C58AF47D2A1D19BE6A7F65D3B5206DE037039AB49DE1919","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmMeteringRemind.resx","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","5748","A122F3E718C7A26B3B21F292AE61305DC66838BB76B93ED6A7669B2AB4CA3432","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmNLogs.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","4991","098F8535E153F47CC2EBC8DA343AD2D38475FAAF319238B58166B7A7C47DC672","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
"src/master/MainUI/frmNLogs.Designer.cs","ui-shell","XXX.TestBench.Avalonia;HeadlessUi.Tests","Port","9963","0C60D24052BDBE9A7ED54D9E9E2ABE00B2D55516B870744C8ED09F858B497F60","WinForms/Designer/resx 证据；按行为合同重建，不机械复制控件"
