"LogicalPoint","SourcePath","SourceEvidence","PointKind","PhysicalAddress","Transport","ValueType","LegacySubscription","SourceCapability","LegacyRead","LegacyWrite","ScopeStatus","TargetNodeId","TargetDataAccess","TargetWriteEntry","WritePreconditions","ReadbackOrFailure","FirstSlice","Notes"
"SMART.PLC.AI.Gain10","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD440","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain10","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain11","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD444","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Gain11","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain12","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD448","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain12","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain13","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD452","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain13","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain14","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD456","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain14","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain15","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD460","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain15","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain16","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD464","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain16","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain17","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD468","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain17","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain18","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD472","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain18","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Gain19","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,122-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration gain","VD476","S7-200/S7-1200 via S7NetPlus","Double","no","no","read/possible","yes","OPFOnlyReserve","SMART.PLC.AI.Gain19","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.MAI00","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD200","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI00","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","yes","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI01","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD204","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI01","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI02","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD208","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI02","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI03","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD212","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI03","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI04","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD216","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI04","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI05","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD220","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI05","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI06","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD224","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI06","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI07","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD228","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI07","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI08","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD232","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI08","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI09","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD236","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI09","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI10","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD240","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI10","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI11","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD244","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI11","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI12","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD248","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI12","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI13","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD252","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI13","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI14","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD256","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI14","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI15","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD260","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI15","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI16","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD264","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI16","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI17","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD268","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI17","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI18","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD272","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI18","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.MAI19","Modules/AIGrp.cs","AIGrp.cs:8-13,35-47","Analog input","VD276","S7-200/S7-1200 via S7NetPlus","Double","yes","yes","yes","no","ActiveLegacy","SMART.PLC.AI.MAI19","ReadOnlyDataVariable","none (P2)","N/A; P2 only exposes a read-only DataVariable","Read failure changes quality to Bad/Uncertain; no default 0/false","no","AI group is registered dynamically as AI.MAI00..19; active CPU profile is selected in Gateway configuration"
"SMART.PLC.AI.Zero00","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD300","S7-200/S7-1200 via S7NetPlus","Double","no","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero00","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero01","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD304","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero01","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero02","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD308","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero02","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
"SMART.PLC.AI.Zero03","Modules/PLCCalibration.cs;Procedure/UCCalibration.cs","PLCCalibration.cs:25-70,103-132; UCCalibration.cs:426-440; frmHardWare.Designer.cs:186-334","AI calibration zero","VD312","S7-200/S7-1200 via S7NetPlus","Double","yes","possible-write","read/possible","yes","SourceCapabilityOnly","SMART.PLC.AI.Zero03","ReadOnlyDataVariable","Gateway.Commands.WriteTag(kind=calibration) (P3, signed)","UA certificate identity; operator permission; quality Good; expected connection generation; business interlock; timeout; no active conflicting test","Immediate typed failure on permission/quality/generation/disconnect/timeout/readback mismatch; no queue, retry or replay; audit result","no","PLCCalibration subscribes indices 1..7; UI exposes AI calibration indices 0..11; 12..19 are OPF-only reserve"
